AsAhAdKsKh	AsAhAcKsKh	AsAhAdKsKd	AsAhAdKsKc
KsKh9s4s3h	KsKd9s4s3d	KsKc9s4s3c	KsKh9s4h3s
KsKd9s4d3s	KsKc9s4c3s	KsKh9s4h3h	KsKh9s4h3d
KsKh9s4h3c	KsKh9s4d3h	KsKh9s4c3h	KsKh9s4d3d
KsKh9s4c3c	KsKd9s4h3h	KsKc9s4h3h	KsKd9s4h3d
KsKc9s4h3c	KsKd9s4d3h	KsKc9s4c3h	KsKd9s4d3d
KsKd9s4d3c	KsKd9s4c3d	KsKd9s4c3c	KsKc9s4d3d
KsKc9s4d3c	KsKc9s4c3d	KsKc9s4c3c	KsKh9h4s3s
KsKd9d4s3s	KsKc9c4s3s	KsKh9h4s3h	KsKh9h4s3d
KsKh9h4s3c	KsKh9d4s3h	KsKh9c4s3h	KsKh9d4s3d
KsKh9c4s3c	KsKd9h4s3h	KsKc9h4s3h	KsKd9h4s3d
KsKc9h4s3c	KsKd9d4s3h	KsKc9c4s3h	KsKd9d4s3d
KsKd9d4s3c	KsKd9c4s3d	KsKd9c4s3c	KsKc9d4s3d
KsKc9d4s3c	KsKc9c4s3d	KsKc9c4s3c	KsKh9h4h3s
KsKh9h4d3s	KsKh9h4c3s	KsKh9d4h3s	KsKh9c4h3s
KsKh9d4d3s	KsKh9c4c3s	KsKd9h4h3s	KsKc9h4h3s
KsKd9h4d3s	KsKc9h4c3s	KsKd9d4h3s	KsKc9c4h3s
KsKd9d4d3s	KsKd9d4c3s	KsKd9c4d3s	KsKd9c4c3s
KsKc9d4d3s	KsKc9d4c3s	KsKc9c4d3s	KsKc9c4c3s
KsKh9h4d3d	KsKh9h4c3c	KsKh9d4h3d	KsKh9c4h3c
KsKh9d4d3h	KsKh9c4c3h	KsKd9h4h3d	KsKc9h4h3c
KsKd9h4d3h	KsKc9h4c3h	KsKd9d4h3h	KsKc9c4h3h
KsKd9d4c3c	KsKd9c4d3c	KsKd9c4c3d	KsKc9d4d3c
KsKc9d4c3d	KsKc9c4d3d	KhKd9s4s3h	KhKc9s4s3h
KhKd9s4s3d	KhKc9s4s3c	KdKc9s4s3d	KdKc9s4s3c
KhKd9s4h3s	KhKc9s4h3s	KhKd9s4d3s	KhKc9s4c3s
KdKc9s4d3s	KdKc9s4c3s	KhKd9s4h3d	KhKc9s4h3c
KhKd9s4d3h	KhKc9s4c3h	KdKc9s4d3c	KdKc9s4c3d
KhKd9h4s3s	KhKc9h4s3s	KhKd9d4s3s	KhKc9c4s3s
KdKc9d4s3s	KdKc9c4s3s	KhKd9h4s3d	KhKc9h4s3c
KhKd9d4s3h	KhKc9c4s3h	KdKc9d4s3c	KdKc9c4s3d
KhKd9h4d3s	KhKc9h4c3s	KhKd9d4h3s	KhKc9c4h3s
KdKc9d4c3s	KdKc9c4d3s	KhKd9h4h3d	KhKc9h4h3c
KhKd9h4d3h	KhKc9h4c3h	KhKd9h4d3d	KhKd9h4d3c
KhKd9h4c3d	KhKd9h4c3c	KhKc9h4d3d	KhKc9h4d3c
KhKc9h4c3d	KhKc9h4c3c	KhKd9d4h3h	KhKc9c4h3h
KhKd9d4h3d	KhKd9d4h3c	KhKd9c4h3d	KhKd9c4h3c
KhKc9d4h3d	KhKc9d4h3c	KhKc9c4h3d	KhKc9c4h3c
KhKd9d4d3h	KhKd9d4c3h	KhKd9c4d3h	KhKd9c4c3h
KhKc9d4d3h	KhKc9d4c3h	KhKc9c4d3h	KhKc9c4c3h
KhKd9d4c3c	KhKd9c4d3c	KhKd9c4c3d	KhKc9d4d3c
KhKc9d4c3d	KhKc9c4d3d	KdKc9h4h3d	KdKc9h4h3c
KdKc9h4d3h	KdKc9h4c3h	KdKc9h4d3c	KdKc9h4c3d
KdKc9d4h3h	KdKc9c4h3h	KdKc9d4h3c	KdKc9c4h3d
KdKc9d4c3h	KdKc9c4d3h	KdKc9d4d3c	KdKc9d4c3d
KdKc9d4c3c	KdKc9c4d3d	KdKc9c4d3c	KdKc9c4c3d
KsKh9s4s2h	KsKd9s4s2d	KsKc9s4s2c	KsKh9s4h2s
KsKd9s4d2s	KsKc9s4c2s	KsKh9s4h2h	KsKh9s4h2d
KsKh9s4h2c	KsKh9s4d2h	KsKh9s4c2h	KsKd9s4h2d
KsKc9s4h2c	KsKd9s4d2h	KsKc9s4c2h	KsKd9s4d2d
KsKd9s4d2c	KsKd9s4c2d	KsKc9s4d2c	KsKc9s4c2d
KsKc9s4c2c	KsKh9h4s2s	KsKd9d4s2s	KsKc9c4s2s
KsKh9h4s2h	KsKh9h4s2d	KsKh9h4s2c	KsKh9d4s2h
KsKh9c4s2h	KsKd9h4s2d	KsKc9h4s2c	KsKd9d4s2h
KsKc9c4s2h	KsKd9d4s2d	KsKd9d4s2c	KsKd9c4s2d
KsKc9d4s2c	KsKc9c4s2d	KsKc9c4s2c	KsKh9h4h2s
KsKh9h4d2s	KsKh9h4c2s	KsKh9d4h2s	KsKh9c4h2s
KsKd9h4d2s	KsKc9h4c2s	KsKd9d4h2s	KsKc9c4h2s
KsKd9d4d2s	KsKd9d4c2s	KsKd9c4d2s	KsKc9d4c2s
KsKc9c4d2s	KsKc9c4c2s	KhKd9s4h2d	KhKc9s4h2c
KhKd9s4d2h	KhKc9s4c2h	KdKc9s4d2c	KdKc9s4c2d
KhKd9h4s2d	KhKc9h4s2c	KhKd9d4s2h	KhKc9c4s2h
KdKc9d4s2c	KdKc9c4s2d	KhKd9h4d2s	KhKc9h4c2s
KhKd9d4h2s	KhKc9c4h2s	KdKc9d4c2s	KdKc9c4d2s
KhKd9h4h2d	KhKc9h4h2c	KhKd9h4d2h	KhKc9h4c2h
KhKd9h4d2d	KhKd9h4d2c	KhKd9h4c2d	KhKc9h4d2c
KhKc9h4c2d	KhKc9h4c2c	KhKd9d4h2h	KhKc9c4h2h
KhKd9d4h2d	KhKd9d4h2c	KhKd9c4h2d	KhKc9d4h2c
KhKc9c4h2d	KhKc9c4h2c	KhKd9d4d2h	KhKd9d4c2h
KhKd9c4d2h	KhKc9d4c2h	KhKc9c4d2h	KhKc9c4c2h
KdKc9h4d2c	KdKc9h4c2d	KdKc9d4h2c	KdKc9c4h2d
KdKc9d4c2h	KdKc9c4d2h	KdKc9d4d2c	KdKc9d4c2d
KdKc9d4c2c	KdKc9c4d2d	KdKc9c4d2c	KdKc9c4c2d
KsKh9s3s3h	KsKd9s3s3d	KsKc9s3s3c	KsKh9s3h3d
KsKh9s3h3c	KsKd9s3h3d	KsKc9s3h3c	KsKd9s3d3c
KsKc9s3d3c	KsKh9h3s3h	KsKh9h3s3d	KsKh9h3s3c
KsKh9d3s3h	KsKh9c3s3h	KsKh9d3s3d	KsKh9c3s3c
KsKd9h3s3h	KsKc9h3s3h	KsKd9h3s3d	KsKc9h3s3c
KsKd9d3s3h	KsKc9c3s3h	KsKd9d3s3d	KsKd9d3s3c
KsKd9c3s3d	KsKd9c3s3c	KsKc9d3s3d	KsKc9d3s3c
KsKc9c3s3d	KsKc9c3s3c	KsKh9d3h3d	KsKh9c3h3c
KsKd9h3h3d	KsKc9h3h3c	KsKd9c3d3c	KsKc9d3d3c
KhKd9s3s3h	KhKc9s3s3h	KhKd9s3s3d	KhKc9s3s3c
KdKc9s3s3d	KdKc9s3s3c	KhKd9s3h3d	KhKc9s3h3c
KdKc9s3d3c	KhKd9h3s3d	KhKc9h3s3c	KhKd9d3s3h
KhKc9c3s3h	KdKc9d3s3c	KdKc9c3s3d	KhKd9h3h3d
KhKc9h3h3c	KhKd9h3d3c	KhKc9h3d3c	KhKd9d3h3d
KhKd9d3h3c	KhKd9c3h3d	KhKd9c3h3c	KhKc9d3h3d
KhKc9d3h3c	KhKc9c3h3d	KhKc9c3h3c	KhKd9c3d3c
KhKc9d3d3c	KdKc9h3h3d	KdKc9h3h3c	KdKc9h3d3c
KdKc9d3h3c	KdKc9c3h3d	KdKc9d3d3c	KdKc9c3d3c
KsKh9s3s2h	KsKd9s3s2d	KsKc9s3s2c	KsKh9s3h2d
KsKh9s3h2c	KsKh9s3d2h	KsKh9s3c2h	KsKd9s3h2d
KsKc9s3h2c	KsKd9s3d2h	KsKc9s3c2h	KsKd9s3d2c
KsKd9s3c2d	KsKc9s3d2c	KsKc9s3c2d	KsKh9h3s2d
KsKh9h3s2c	KsKh9d3s2h	KsKh9c3s2h	KsKd9h3s2d
KsKc9h3s2c	KsKd9d3s2h	KsKc9c3s2h	KsKd9d3s2c
KsKd9c3s2d	KsKc9d3s2c	KsKc9c3s2d	KsKh9h3h2s
KsKh9h3d2s	KsKh9h3c2s	KsKh9d3h2s	KsKh9c3h2s
KsKd9h3d2s	KsKc9h3c2s	KsKd9d3h2s	KsKc9c3h2s
KsKd9d3d2s	KsKd9d3c2s	KsKd9c3d2s	KsKc9d3c2s
KsKc9c3d2s	KsKc9c3c2s	KhKd9s3h2d	KhKc9s3h2c
KhKd9s3d2h	KhKc9s3c2h	KdKc9s3d2c	KdKc9s3c2d
KhKd9h3s2d	KhKc9h3s2c	KhKd9d3s2h	KhKc9c3s2h
KdKc9d3s2c	KdKc9c3s2d	KhKd9h3d2s	KhKc9h3c2s
KhKd9d3h2s	KhKc9c3h2s	KdKc9d3c2s	KdKc9c3d2s
KhKd9h3h2d	KhKc9h3h2c	KhKd9h3d2c	KhKd9h3c2d
KhKc9h3d2c	KhKc9h3c2d	KhKd9d3h2c	KhKd9c3h2d
KhKc9d3h2c	KhKc9c3h2d	KhKd9d3d2h	KhKd9d3c2h
KhKd9c3d2h	KhKc9d3c2h	KhKc9c3d2h	KhKc9c3c2h
KdKc9h3d2c	KdKc9h3c2d	KdKc9d3h2c	KdKc9c3h2d
KdKc9d3c2h	KdKc9c3d2h	KdKc9d3d2c	KdKc9c3c2d
KsKh9s2s2h	KsKd9s2s2d	KsKc9s2s2c	KsKh9s2h2d
KsKh9s2h2c	KsKd9s2h2d	KsKc9s2h2c	KsKd9s2d2c
KsKc9s2d2c	KsKh9h2s2h	KsKh9h2s2d	KsKh9h2s2c
KsKh9d2s2h	KsKh9c2s2h	KsKh9d2s2d	KsKh9c2s2c
KsKd9h2s2h	KsKc9h2s2h	KsKd9h2s2d	KsKc9h2s2c
KsKd9d2s2h	KsKc9c2s2h	KsKd9d2s2d	KsKd9d2s2c
KsKd9c2s2d	KsKd9c2s2c	KsKc9d2s2d	KsKc9d2s2c
KsKc9c2s2d	KsKc9c2s2c	KsKh9d2h2d	KsKh9c2h2c
KsKd9h2h2d	KsKc9h2h2c	KsKd9c2d2c	KsKc9d2d2c
KhKd9s2s2h	KhKc9s2s2h	KhKd9s2s2d	KhKc9s2s2c
KdKc9s2s2d	KdKc9s2s2c	KhKd9s2h2d	KhKc9s2h2c
KdKc9s2d2c	KhKd9h2s2d	KhKc9h2s2c	KhKd9d2s2h
KhKc9c2s2h	KdKc9d2s2c	KdKc9c2s2d	KhKd9h2h2d
KhKc9h2h2c	KhKd9h2d2c	KhKc9h2d2c	KhKd9d2h2d
KhKd9d2h2c	KhKd9c2h2d	KhKd9c2h2c	KhKc9d2h2d
KhKc9d2h2c	KhKc9c2h2d	KhKc9c2h2c	KhKd9c2d2c
KhKc9d2d2c	KdKc9h2h2d	KdKc9h2h2c	KdKc9h2d2c
KdKc9d2h2c	KdKc9c2h2d	KdKc9d2d2c	KdKc9c2d2c
KsKh8s8h7s	KsKh8s8d7s	KsKh8s8c7s	KsKd8s8h7s
KsKc8s8h7s	KsKd8s8d7s	KsKd8s8c7s	KsKc8s8d7s
KsKc8s8c7s	KsKh8s8h7h	KsKh8s8h7d	KsKh8s8h7c
KsKh8s8d7h	KsKh8s8c7h	KsKh8s8d7d	KsKh8s8d7c
KsKh8s8c7d	KsKh8s8c7c	KsKd8s8h7h	KsKc8s8h7h
KsKd8s8h7d	KsKd8s8h7c	KsKc8s8h7d	KsKc8s8h7c
KsKd8s8d7h	KsKd8s8c7h	KsKc8s8d7h	KsKc8s8c7h
KsKd8s8d7d	KsKd8s8d7c	KsKd8s8c7d	KsKd8s8c7c
KsKc8s8d7d	KsKc8s8d7c	KsKc8s8c7d	KsKc8s8c7c
KsKh8h8d7s	KsKh8h8c7s	KsKh8d8c7s	KsKd8h8d7s
KsKd8h8c7s	KsKc8h8d7s	KsKc8h8c7s	KsKd8d8c7s
KsKc8d8c7s	KsKh8h8d7h	KsKh8h8c7h	KsKh8h8d7d
KsKh8h8d7c	KsKh8h8c7d	KsKh8h8c7c	KsKh8d8c7h
KsKh8d8c7d	KsKh8d8c7c	KsKd8h8d7h	KsKd8h8c7h
KsKc8h8d7h	KsKc8h8c7h	KsKd8h8d7d	KsKd8h8d7c
KsKd8h8c7d	KsKd8h8c7c	KsKc8h8d7d	KsKc8h8d7c
KsKc8h8c7d	KsKc8h8c7c	KsKd8d8c7h	KsKc8d8c7h
KsKd8d8c7d	KsKd8d8c7c	KsKc8d8c7d	KsKc8d8c7c
KhKd8s8h7s	KhKc8s8h7s	KhKd8s8d7s	KhKd8s8c7s
KhKc8s8d7s	KhKc8s8c7s	KdKc8s8h7s	KdKc8s8d7s
KdKc8s8c7s	KhKd8s8h7h	KhKc8s8h7h	KhKd8s8h7d
KhKd8s8h7c	KhKc8s8h7d	KhKc8s8h7c	KhKd8s8d7h
KhKd8s8c7h	KhKc8s8d7h	KhKc8s8c7h	KhKd8s8d7d
KhKd8s8d7c	KhKd8s8c7d	KhKd8s8c7c	KhKc8s8d7d
KhKc8s8d7c	KhKc8s8c7d	KhKc8s8c7c	KdKc8s8h7h
KdKc8s8h7d	KdKc8s8h7c	KdKc8s8d7h	KdKc8s8c7h
KdKc8s8d7d	KdKc8s8d7c	KdKc8s8c7d	KdKc8s8c7c
KhKd8h8d7s	KhKd8h8c7s	KhKc8h8d7s	KhKc8h8c7s
KhKd8d8c7s	KhKc8d8c7s	KdKc8h8d7s	KdKc8h8c7s
KdKc8d8c7s	KhKd8h8d7h	KhKd8h8c7h	KhKc8h8d7h
KhKc8h8c7h	KhKd8h8d7d	KhKd8h8d7c	KhKd8h8c7d
KhKd8h8c7c	KhKc8h8d7d	KhKc8h8d7c	KhKc8h8c7d
KhKc8h8c7c	KhKd8d8c7h	KhKc8d8c7h	KhKd8d8c7d
KhKd8d8c7c	KhKc8d8c7d	KhKc8d8c7c	KdKc8h8d7h
KdKc8h8c7h	KdKc8h8d7d	KdKc8h8d7c	KdKc8h8c7d
KdKc8h8c7c	KdKc8d8c7h	KdKc8d8c7d	KdKc8d8c7c
KsKh8s8h6s	KsKh8s8d6s	KsKh8s8c6s	KsKd8s8h6s
KsKc8s8h6s	KsKd8s8d6s	KsKd8s8c6s	KsKc8s8d6s
KsKc8s8c6s	KsKh8s8h6h	KsKh8s8h6d	KsKh8s8h6c
KsKh8s8d6h	KsKh8s8c6h	KsKh8s8d6d	KsKh8s8d6c
KsKh8s8c6d	KsKh8s8c6c	KsKd8s8h6h	KsKc8s8h6h
KsKd8s8h6d	KsKd8s8h6c	KsKc8s8h6d	KsKc8s8h6c
KsKd8s8d6h	KsKd8s8c6h	KsKc8s8d6h	KsKc8s8c6h
KsKd8s8d6d	KsKd8s8d6c	KsKd8s8c6d	KsKd8s8c6c
KsKc8s8d6d	KsKc8s8d6c	KsKc8s8c6d	KsKc8s8c6c
KsKh8h8d6s	KsKh8h8c6s	KsKh8d8c6s	KsKd8h8d6s
KsKd8h8c6s	KsKc8h8d6s	KsKc8h8c6s	KsKd8d8c6s
KsKc8d8c6s	KsKh8h8d6h	KsKh8h8c6h	KsKh8h8d6d
KsKh8h8d6c	KsKh8h8c6d	KsKh8h8c6c	KsKh8d8c6h
KsKh8d8c6d	KsKh8d8c6c	KsKd8h8d6h	KsKd8h8c6h
KsKc8h8d6h	KsKc8h8c6h	KsKd8h8d6d	KsKd8h8d6c
KsKd8h8c6d	KsKd8h8c6c	KsKc8h8d6d	KsKc8h8d6c
KsKc8h8c6d	KsKc8h8c6c	KsKd8d8c6h	KsKc8d8c6h
KsKd8d8c6d	KsKd8d8c6c	KsKc8d8c6d	KsKc8d8c6c
KhKd8s8h6s	KhKc8s8h6s	KhKd8s8d6s	KhKd8s8c6s
KhKc8s8d6s	KhKc8s8c6s	KdKc8s8h6s	KdKc8s8d6s
KdKc8s8c6s	KhKd8s8h6h	KhKc8s8h6h	KhKd8s8h6d
KhKd8s8h6c	KhKc8s8h6d	KhKc8s8h6c	KhKd8s8d6h
KhKd8s8c6h	KhKc8s8d6h	KhKc8s8c6h	KhKd8s8d6d
KhKd8s8d6c	KhKd8s8c6d	KhKd8s8c6c	KhKc8s8d6d
KhKc8s8d6c	KhKc8s8c6d	KhKc8s8c6c	KdKc8s8h6h
KdKc8s8h6d	KdKc8s8h6c	KdKc8s8d6h	KdKc8s8c6h
KdKc8s8d6d	KdKc8s8d6c	KdKc8s8c6d	KdKc8s8c6c
KhKd8h8d6s	KhKd8h8c6s	KhKc8h8d6s	KhKc8h8c6s
KhKd8d8c6s	KhKc8d8c6s	KdKc8h8d6s	KdKc8h8c6s
KdKc8d8c6s	KhKd8h8d6h	KhKd8h8c6h	KhKc8h8d6h
KhKc8h8c6h	KhKd8h8d6d	KhKd8h8d6c	KhKd8h8c6d
KhKd8h8c6c	KhKc8h8d6d	KhKc8h8d6c	KhKc8h8c6d
KhKc8h8c6c	KhKd8d8c6h	KhKc8d8c6h	KhKd8d8c6d
KhKd8d8c6c	KhKc8d8c6d	KhKc8d8c6c	KdKc8h8d6h
KdKc8h8c6h	KdKc8h8d6d	KdKc8h8d6c	KdKc8h8c6d
KdKc8h8c6c	KdKc8d8c6h	KdKc8d8c6d	KdKc8d8c6c
KsKh8s8h5s	KsKh8s8d5s	KsKh8s8c5s	KsKd8s8h5s
KsKc8s8h5s	KsKd8s8d5s	KsKd8s8c5s	KsKc8s8d5s
KsKc8s8c5s	KsKh8s8h5h	KsKh8s8h5d	KsKh8s8h5c
KsKh8s8d5h	KsKh8s8c5h	KsKh8s8d5d	KsKh8s8d5c
KsKh8s8c5d	KsKh8s8c5c	KsKd8s8h5h	KsKc8s8h5h
KsKd8s8h5d	KsKd8s8h5c	KsKc8s8h5d	KsKc8s8h5c
KsKd8s8d5h	KsKd8s8c5h	KsKc8s8d5h	KsKc8s8c5h
KsKd8s8d5d	KsKd8s8d5c	KsKd8s8c5d	KsKd8s8c5c
KsKc8s8d5d	KsKc8s8d5c	KsKc8s8c5d	KsKc8s8c5c
KsKh8h8d5s	KsKh8h8c5s	KsKh8d8c5s	KsKd8h8d5s
KsKd8h8c5s	KsKc8h8d5s	KsKc8h8c5s	KsKd8d8c5s
KsKc8d8c5s	KsKh8h8d5h	KsKh8h8c5h	KsKh8h8d5d
KsKh8h8d5c	KsKh8h8c5d	KsKh8h8c5c	KsKh8d8c5h
KsKd8h8d5h	KsKc8h8c5h	KsKd8h8d5d	KsKd8h8d5c
KsKd8h8c5d	KsKc8h8d5c	KsKc8h8c5d	KsKc8h8c5c
KsKd8d8c5h	KsKc8d8c5h	KsKd8d8c5d	KsKd8d8c5c
KsKc8d8c5d	KsKc8d8c5c	KhKd8s8h5s	KhKc8s8h5s
KhKd8s8d5s	KhKc8s8c5s	KdKc8s8d5s	KdKc8s8c5s
KhKd8s8h5h	KhKc8s8h5h	KhKd8s8h5d	KhKd8s8h5c
KhKc8s8h5d	KhKc8s8h5c	KhKd8s8d5h	KhKd8s8c5h
KhKc8s8d5h	KhKc8s8c5h	KhKd8s8d5d	KhKd8s8d5c
KhKd8s8c5d	KhKc8s8d5c	KhKc8s8c5d	KhKc8s8c5c
KdKc8s8h5d	KdKc8s8h5c	KdKc8s8d5h	KdKc8s8c5h
KdKc8s8d5d	KdKc8s8d5c	KdKc8s8c5d	KdKc8s8c5c
KhKd8h8d5s	KhKd8h8c5s	KhKc8h8d5s	KhKc8h8c5s
KhKd8d8c5s	KhKc8d8c5s	KdKc8h8d5s	KdKc8h8c5s
KdKc8d8c5s	KhKd8h8d5h	KhKd8h8c5h	KhKc8h8d5h
KhKc8h8c5h	KhKd8h8d5d	KhKd8h8d5c	KhKd8h8c5d
KhKd8h8c5c	KhKc8h8d5d	KhKc8h8d5c	KhKc8h8c5d
KhKc8h8c5c	KhKd8d8c5h	KhKc8d8c5h	KhKd8d8c5d
KhKd8d8c5c	KhKc8d8c5d	KhKc8d8c5c	KdKc8h8d5h
KdKc8h8c5h	KdKc8h8d5d	KdKc8h8d5c	KdKc8h8c5d
KdKc8h8c5c	KdKc8d8c5h	KdKc8d8c5d	KdKc8d8c5c
KsKh8s8h4s	KsKd8s8d4s	KsKc8s8c4s	KsKh8s8h4h
KsKh8s8h4d	KsKh8s8h4c	KsKh8s8d4h	KsKh8s8c4h
KsKh8s8d4d	KsKh8s8d4c	KsKh8s8c4d	KsKh8s8c4c
KsKd8s8h4h	KsKc8s8h4h	KsKd8s8h4d	KsKd8s8h4c
KsKc8s8h4d	KsKc8s8h4c	KsKd8s8d4h	KsKd8s8c4h
KsKc8s8d4h	KsKc8s8c4h	KsKd8s8d4d	KsKd8s8d4c
KsKd8s8c4d	KsKd8s8c4c	KsKc8s8d4d	KsKc8s8d4c
KsKc8s8c4d	KsKc8s8c4c	KsKh8h8d4s	KsKh8h8c4s
KsKh8d8c4s	KsKd8h8d4s	KsKd8h8c4s	KsKc8h8d4s
KsKc8h8c4s	KsKd8d8c4s	KsKc8d8c4s	KsKh8h8d4d
KsKh8h8d4c	KsKh8h8c4d	KsKh8h8c4c	KsKh8d8c4h
KsKd8h8d4h	KsKc8h8c4h	KsKd8h8d4c	KsKd8h8c4d
KsKc8h8d4c	KsKc8h8c4d	KsKd8d8c4h	KsKc8d8c4h
KsKd8d8c4c	KsKc8d8c4d	KhKd8s8h4s	KhKc8s8h4s
KhKd8s8d4s	KhKc8s8c4s	KdKc8s8d4s	KdKc8s8c4s
KhKd8s8h4d	KhKd8s8h4c	KhKc8s8h4d	KhKc8s8h4c
KhKd8s8d4h	KhKd8s8c4h	KhKc8s8d4h	KhKc8s8c4h
KhKd8s8d4c	KhKd8s8c4d	KhKc8s8d4c	KhKc8s8c4d
KdKc8s8h4d	KdKc8s8h4c	KdKc8s8d4h	KdKc8s8c4h
KdKc8s8d4c	KdKc8s8c4d	KhKd8h8d4s	KhKd8h8c4s
KhKc8h8d4s	KhKc8h8c4s	KhKd8d8c4s	KhKc8d8c4s
KdKc8h8d4s	KdKc8h8c4s	KdKc8d8c4s	KhKd8h8d4h
KhKc8h8c4h	KhKd8h8d4d	KhKd8h8d4c	KhKd8h8c4d
KhKd8h8c4c	KhKc8h8d4d	KhKc8h8d4c	KhKc8h8c4d
KhKc8h8c4c	KhKd8d8c4h	KhKc8d8c4h	KhKd8d8c4c
KhKc8d8c4d	KdKc8h8d4h	KdKc8h8c4h	KdKc8h8d4c
KdKc8h8c4d	KdKc8d8c4h	KdKc8d8c4d	KdKc8d8c4c
KsKh8s8h3s	KsKd8s8d3s	KsKc8s8c3s	KsKh8s8h3h
KsKh8s8h3d	KsKh8s8h3c	KsKh8s8d3h	KsKh8s8c3h
KsKh8s8d3d	KsKh8s8c3c	KsKd8s8h3h	KsKc8s8h3h
KsKd8s8h3d	KsKc8s8h3c	KsKd8s8d3h	KsKc8s8c3h
KsKd8s8d3d	KsKd8s8d3c	KsKd8s8c3d	KsKd8s8c3c
KsKc8s8d3d	KsKc8s8d3c	KsKc8s8c3d	KsKc8s8c3c
KsKh8h8d3s	KsKh8h8c3s	KsKd8h8d3s	KsKc8h8c3s
KsKd8d8c3s	KsKc8d8c3s	KsKh8h8d3d	KsKh8h8c3c
KsKd8h8d3h	KsKc8h8c3h	KsKd8d8c3c	KsKc8d8c3d
KhKd8s8h3s	KhKc8s8h3s	KhKd8s8d3s	KhKc8s8c3s
KdKc8s8d3s	KdKc8s8c3s	KhKd8s8h3d	KhKc8s8h3c
KhKd8s8d3h	KhKc8s8c3h	KdKc8s8d3c	KdKc8s8c3d
KhKd8h8d3s	KhKc8h8c3s	KdKc8d8c3s	KhKd8h8d3h
KhKc8h8c3h	KhKd8h8d3d	KhKd8h8d3c	KhKd8h8c3d
KhKd8h8c3c	KhKc8h8d3d	KhKc8h8d3c	KhKc8h8c3d
KhKc8h8c3c	KhKd8d8c3h	KhKc8d8c3h	KhKd8d8c3c
KhKc8d8c3d	KdKc8h8d3h	KdKc8h8c3h	KdKc8h8d3c
KdKc8h8c3d	KdKc8d8c3h	KdKc8d8c3d	KdKc8d8c3c
KsKh8s8h2s	KsKd8s8d2s	KsKc8s8c2s	KsKh8s8h2h
KsKh8s8h2d	KsKh8s8h2c	KsKh8s8d2h	KsKh8s8c2h
KsKh8s8d2d	KsKh8s8c2c	KsKd8s8h2h	KsKc8s8h2h
KsKd8s8h2d	KsKc8s8h2c	KsKd8s8d2h	KsKc8s8c2h
KsKd8s8d2d	KsKd8s8d2c	KsKd8s8c2d	KsKd8s8c2c
KsKc8s8d2d	KsKc8s8d2c	KsKc8s8c2d	KsKc8s8c2c
KsKh8h8d2s	KsKh8h8c2s	KsKd8h8d2s	KsKc8h8c2s
KsKd8d8c2s	KsKc8d8c2s	KsKh8h8d2d	KsKh8h8c2c
KsKd8h8d2h	KsKc8h8c2h	KsKd8d8c2c	KsKc8d8c2d
KhKd8s8h2s	KhKc8s8h2s	KhKd8s8d2s	KhKc8s8c2s
KdKc8s8d2s	KdKc8s8c2s	KhKd8s8h2d	KhKc8s8h2c
KhKd8s8d2h	KhKc8s8c2h	KdKc8s8d2c	KdKc8s8c2d
KhKd8h8d2s	KhKc8h8c2s	KdKc8d8c2s	KhKd8h8d2h
KhKc8h8c2h	KhKd8h8d2d	KhKd8h8d2c	KhKd8h8c2d
KhKd8h8c2c	KhKc8h8d2d	KhKc8h8d2c	KhKc8h8c2d
KhKc8h8c2c	KhKd8d8c2h	KhKc8d8c2h	KhKd8d8c2c
KhKc8d8c2d	KdKc8h8d2h	KdKc8h8c2h	KdKc8h8d2c
KdKc8h8c2d	KdKc8d8c2h	KdKc8d8c2d	KdKc8d8c2c
KsKh8s7s7h	KsKh8s7s7d	KsKh8s7s7c	KsKd8s7s7h
KsKc8s7s7h	KsKd8s7s7d	KsKd8s7s7c	KsKc8s7s7d
KsKc8s7s7c	KsKh8s7h7d	KsKh8s7h7c	KsKh8s7d7c
KsKd8s7h7d	KsKd8s7h7c	KsKc8s7h7d	KsKc8s7h7c
KsKd8s7d7c	KsKc8s7d7c	KsKh8h7s7h	KsKh8h7s7d
KsKh8h7s7c	KsKh8d7s7h	KsKh8c7s7h	KsKh8d7s7d
KsKh8d7s7c	KsKh8c7s7d	KsKh8c7s7c	KsKd8h7s7h
KsKc8h7s7h	KsKd8h7s7d	KsKd8h7s7c	KsKc8h7s7d
KsKc8h7s7c	KsKd8d7s7h	KsKd8c7s7h	KsKc8d7s7h
KsKc8c7s7h	KsKd8d7s7d	KsKd8d7s7c	KsKd8c7s7d
KsKd8c7s7c	KsKc8d7s7d	KsKc8d7s7c	KsKc8c7s7d
KsKc8c7s7c	KsKh8h7h7d	KsKh8h7h7c	KsKh8h7d7c
KsKh8d7h7d	KsKh8d7h7c	KsKh8c7h7d	KsKh8c7h7c
KsKh8d7d7c	KsKh8c7d7c	KsKd8h7h7d	KsKd8h7h7c
KsKc8h7h7d	KsKc8h7h7c	KsKd8h7d7c	KsKc8h7d7c
KsKd8d7h7d	KsKd8d7h7c	KsKd8c7h7d	KsKd8c7h7c
KsKc8d7h7d	KsKc8d7h7c	KsKc8c7h7d	KsKc8c7h7c
KsKd8d7d7c	KsKd8c7d7c	KsKc8d7d7c	KsKc8c7d7c
KhKd8s7s7h	KhKc8s7s7h	KhKd8s7s7d	KhKd8s7s7c
KhKc8s7s7d	KhKc8s7s7c	KdKc8s7s7h	KdKc8s7s7d
